Data,EMBI + Risco-Brasil - - - JP Morgan - JPM366_EMBI366
1999.08,1118.59090909091
1999.09,1016.2380952381
1999.10,936.95
1999.11,795.5
1999.12,692.347826086957
2000.01,693.25
2000.02,704.05
2000.03,652.869565217391
2000.04,749.4
2000.05,808.636363636364
2000.06,722.136363636364
2000.07,703.857142857143
2000.08,683.782608695652
2000.09,697.333333333333
2000.10,747.818181818182
2000.11,795.409090909091
2000.12,773.4
2001.01,719.363636363636
2001.02,706.75
2001.03,765.954545454545
2001.04,809.5
2001.05,834.782608695652
2001.06,835
2001.07,938
2001.08,945.391304347826
2001.09,1043.35
2001.10,1166.39130434783
2001.11,1002.72727272727
2001.12,884.380952380952
2002.01,845.363636363636
2002.02,842.8
2002.03,729.095238095238
2002.04,755.636363636364
2002.05,938.217391304348
2002.06,1350.95
2002.07,1735.30434782609
2002.08,1961.90909090909
2002.09,1914.2380952381
2002.10,2034.21739130435
2002.11,1688.14285714286
2002.12,1518.14285714286
2003.01,1317.09090909091
2003.02,1293.15
2003.03,1090.33333333333
2003.04,899.095238095238
2003.05,783.863636363636
2003.06,755
2003.07,781.391304347826
2003.08,780.285714285714
2003.09,672.318181818182
2003.10,626.95652173913
2003.11,567.65
2003.12,489.181818181818
2004.01,435.619047619048
2004.02,545.6
2004.03,555.608695652174
2004.04,594.333333333333
2004.05,725.809523809524
2004.06,668.545454545455
2004.07,615.045454545455
2004.08,558.318181818182
2004.09,488.863636363636
2004.10,468.190476190476
2004.11,438.727272727273
2004.12,397.95652173913
2005.01,422.285714285714
2005.02,405.15
2005.03,422.318181818182
2005.04,455.095238095238
2005.05,436.136363636364
2005.06,422.636363636364
2005.07,408.809523809524
2005.08,401.347826086957
2005.09,375.636363636364
2005.10,371.809523809524
2005.11,348.954545454545
2005.12,313.565217391304
2006.01,282.681818181818
2006.02,238.65
2006.03,229.391304347826
2006.04,234
2006.05,246.086956521739
2006.06,262.136363636364
2006.07,239.571428571429
2006.08,218.173913043478
2006.09,229
2006.10,217.727272727273
2006.11,219.869565217391
2006.12,206.5
2007.01,191.636363636364
2007.02,183.15
2007.03,186.636363636364
2007.04,154.7
2007.05,147.652173913043
2007.06,147.095238095238
2007.07,168.863636363636
2007.08,201.391304347826
2007.09,191.1
2007.10,169.913043478261
2007.11,211.772727272727
2007.12,215.1
2008.01,244.04347826087
2008.02,256.809523809524
2008.03,276.25
2008.04,244.045454545455
2008.05,205.090909090909
2008.06,195.238095238095
2008.07,232.304347826087
2008.08,236
2008.09,289
2008.10,491.045454545455
2008.11,467.736842105263
2008.12,478.545454545455
2009.01,429.333333333333
2009.02,429.2
2009.03,433.681818181818
2009.04,382.952380952381
2009.05,313.190476190476
2009.06,281.090909090909
2009.07,270.217391304348
2009.08,252.428571428571
2009.09,240.681818181818
2009.10,226.727272727273
2009.11,220.904761904762
2009.12,205.136363636364
2010.01,208.210526315789
2010.02,222.85
2010.03,189.608695652174
2010.04,179.238095238095
2010.05,224.285714285714
2010.06,235.636363636364
2010.07,223.772727272727
2010.08,206.363636363636
2010.09,211.681818181818
2010.10,186.761904761905
2010.11,178.454545454545
2010.12,177.652173913043
2011.01,170.52380952381
2011.02,174.25
2011.03,172.739130434783
2011.04,172
2011.05,168.772727272727
2011.06,171.227272727273
2011.07,162.142857142857
2011.08,200.478260869565
2011.09,241.863636363636
2011.10,239.666666666667
2011.11,229.5
2011.12,218.909090909091
2012.01,221.772727272727
2012.02,202.52380952381
2012.03,178.318181818182
2012.04,184.8
2012.05,212.173913043478
2012.06,218.380952380952
2012.07,202.227272727273
2012.08,170.913043478261
2012.09,162.5
2012.10,150.304347826087
2012.11,154.909090909091
2012.12,147.15
2013.01,146.272727272727
2013.02,161.65
2013.03,179.95
2013.04,175.909090909091
2013.05,176.95652173913
2013.06,229.25
2013.07,226.95652173913
2013.08,237.590909090909
2013.09,228.809523809524
2013.10,218.913043478261
2013.11,236.047619047619
2013.12,237.904761904762
2014.01,251.681818181818
2014.02,253.8
2014.03,234.095238095238
2014.04,219.47619047619
2014.05,209.272727272727
2014.06,206.047619047619
2014.07,209.652173913043
2014.08,219.52380952381
2014.09,214.454545454545
2014.10,239.913043478261
2014.11,247.5
2014.12,265.181818181818
2015.01,288.714285714286
2015.02,308.95
2015.03,328.136363636364
2015.04,292.727272727273
2015.05,279.952380952381
2015.06,291.818181818182
2015.07,317.434782608696
2015.08,334.619047619048
2015.09,405.409090909091
2015.10,412.863636363636
2015.11,398.095238095238
2015.12,486.954545454545
2016.01,516.8
2016.02,531.285714285714
2016.03,435
2016.04,403.047619047619
2016.05,388.636363636364
2016.06,382.136363636364
2016.07,340.190476190476
2016.08,309.652173913043
2016.09,317.681818181818
2016.10,312.761904761905
2016.11,330.636363636364
2016.12,330.681818181818
2017.01,298.181818181818
2017.02,277.95
2017.03,278.086956521739
2017.04,268.684210526316
2017.05,269.826086956522
2017.06,288.954545454545
2017.07,276.4
2017.08,271.652173913043
2017.09,257.904761904762
2017.10,240.863636363636
2017.11,247.954545454545
2017.12,238.95
2018.01,225.954545454545
2018.02,237.105263157895
2018.03,243.952380952381
2018.04,245.238095238095
2018.05,267.260869565217
2018.06,325.761904761905
2018.07,293.636363636364
2018.08,305.695652173913
2018.09,320.7
2018.10,267.347826086957
2018.11,262.681818181818
2018.12,269.95
2019.01,252.181818181818
2019.02,240.45
2019.03,247.142857142857
2019.04,250.818181818182
2019.05,259.086956521739
2019.06,248.3
2019.07,220.869565217391
2019.08,239.909090909091
2019.09,235.333333333333
2019.10,243.521739130435
2019.11,237.761904761905
2019.12,222.095238095238
2020.01,218.636363636364
2020.02,210.95
2020.03,350.545454545455
2020.04,421.666666666667
2020.05,417
2020.06,369.727272727273
2020.07,374.478260869565
2020.08,322.380952380952
2020.09,322.954545454545
2020.10,316.136363636364
2020.11,277.6
2020.12,263.045454545455
2021.01,277.9
2021.02,276.45
2021.03,300.478260869565
2021.04,286.190476190476
2021.05,264.238095238095
2021.06,264.272727272727
2021.07,291.818181818182
2021.08,307.318181818182
2021.09,314.454545454545
2021.10,336.666666666667
