Data,Meta,Piso,Teto,IPCA
1999.12,"0,08","0,06","0,1","0,089399345060105"
2000.12,"0,06","0,04","0,08","0,059743393932599"
2001.12,"0,04","0,02","0,06","0,07673263015152"
2002.12,"0,035","0,015","0,065","0,12530337079575"
2003.12,"0,04","0,015","0,065","0,092999493292351"
2004.12,"0,055","0,03","0,08","0,076006441380604"
2005.12,"0,045","0,02","0,07","0,056897333458587"
2006.12,"0,045","0,025","0,065","0,031417749683044"
2007.12,"0,045","0,025","0,065","0,044573304332378"
2008.12,"0,045","0,025","0,065","0,059023134175255"
2009.12,"0,045","0,025","0,065","0,0431202832969"
2010.12,"0,045","0,025","0,065","0,059090683472662"
2011.12,"0,045","0,025","0,065","0,065031090406288"
2012.12,"0,045","0,025","0,065","0,058385689976392"
2013.12,"0,045","0,025","0,065","0,059108180800138"
2014.12,"0,045","0,025","0,065","0,06407616596392"
2015.12,"0,045","0,025","0,065","0,106734979956217"
2016.12,"0,045","0,025","0,065","0,062880550542245"
2017.12,"0,045","0,03","0,06","0,029473499083459"
2018.12,"0,045","0,03","0,06","0,037454821218274"
2019.12,"0,0425","0,0275","0,0575","0,043060399841132"
2020.12,"0,04","0,025","0,055","0,0452"
2021.12,"0,0375","0,0225","0,0525","0,0977"
2022.12,"0,035","0,02","0,05","0,0479"
