Data,PIB - preços de mercado - var. real trim. - (%) - Instituto Brasileiro de Geografia e Estatística- Sistema de Contas Nacionais Trimestrais (IBGE/SCN Trimestral) - SCN104_PIBPMG104,
1996 T1,-0.579872607089527,
1996 T2,1.34719274004242,
1996 T3,5.64721334391309,
1996 T4,2.27448353981137,
1997 T1,3.4005716505271,
1997 T2,4.75400232757572,
1997 T3,1.79127942155843,
1997 T4,3.73851797914948,
1998 T1,1.0075748304919,
1998 T2,1.50965330134984,
1998 T3,0.355599697717213,
1998 T4,-1.43453737975798,
1999 T1,0.767667395252603,
1999 T2,-0.400739156011931,
1999 T3,-0.616233112656706,
1999 T4,2.16763065741936,
2000 T1,4.40070494548177,
2000 T2,3.97840817929707,
2000 T3,4.56458911846962,
2000 T4,4.59751175199694,
2001 T1,3.47509030646911,
2001 T2,2.32605539351369,
2001 T3,0.461195748410326,
2001 T4,-0.531801798849552,
2002 T1,0.476919127350484,
2002 T2,2.29820252952875,
2002 T3,4.17470900555852,
2002 T4,5.17262818870465,
2003 T1,2.66702839236099,
2003 T2,0.781242383947078,
2003 T3,0.626180711421553,
2003 T4,0.58871194596799,
2004 T1,3.87808236245821,
2004 T2,6.30825660164149,
2004 T3,6.55880652516838,
2004 T4,6.20936933941645,
2005 T1,4.18432137796962,
2005 T2,4.4749719569996,
2005 T3,2.11497284890729,
2005 T4,2.15055141759835,
2006 T1,4.27909674686839,
2006 T2,2.2832973932619,
2006 T3,4.49278804337372,
2006 T4,4.79521212907867,
2007 T1,5.19469074488315,
2007 T2,6.53725708618969,
2007 T3,5.87025183582024,
2007 T4,6.63973499743324,
2008 T1,6.15740441082528,
2008 T2,6.33612388906348,
2008 T3,6.98081130181818,
2008 T4,1.02839762963287,
2009 T1,-2.42605420129444,
2009 T2,-2.20298515805973,
2009 T3,-1.16265018085614,
2009 T4,5.32432449858116,
2010 T1,9.20909201232987,
2010 T2,8.51773744656654,
2010 T3,6.90715956376131,
2010 T4,5.68933073440623,
2011 T1,5.19512065256424,
2011 T2,4.70050337591632,
2011 T3,3.53734550255058,
2011 T4,2.56799689004408,
2012 T1,1.70718799398752,
2012 T2,0.98646496008532,
2012 T3,2.48542235490243,
2012 T4,2.48281077446848,
2013 T1,2.72117299924381,
2013 T2,4.0219032524371,
2013 T3,2.75894766075651,
2013 T4,2.5286489309807,
2014 T1,3.46904895944253,
2014 T2,-0.435547793931879,
2014 T3,-0.638785707511036,
2014 T4,-0.22793344267148,
2015 T1,-1.61814912987097,
2015 T2,-2.73929831530635,
2015 T3,-4.26293629038266,
2015 T4,-5.52176437484562,
2016 T1,-5.14206738641997,
2016 T2,-3.22185596974653,
2016 T3,-2.45394323820417,
2016 T4,-2.25401030256354,
2017 T1,0.294993639477625,
2017 T2,0.798594224924543,
2017 T3,1.63980432019932,
2017 T4,2.55287321147755,
2018 T1,1.84799492516081,
2018 T2,1.56797434623546,
2018 T3,2.06015256335661,
2018 T4,1.65538196187387,
2019 T1,1.18585635619266,
2019 T2,1.48206389495218,
2019 T3,1.3309708613529,
2019 T4,1.64229320179676,
2020 T1,-0.272583519286795,
2020 T2,-10.8996634634502,
2020 T3,-3.89741803641885,
2020 T4,-1.14093170347546,
2021 T1,0.956496632237136,
2021 T2,12.4273797836957,
