Data,Taxa de juros - Selic - fixada pelo Copom - (% a.a.) - Banco Central do Brasil- Boletim- Seção mercado financeiro e de capitais (Bacen/Boletim/M. Finan.) - BM366_TJOVER366,
1996.07,,
1996.08,25.3401,
1996.09,25.0453,
1996.10,24.1644,
1996.11,23.5803,
1996.12,22.9988,
1997.01,22.4197,
1997.02,21.8432,
1997.03,21.2691,
1997.04,20.6976,
1997.05,20.6976,
1997.06,20.6976,
1997.07,20.6976,
1997.08,20.6976,
1997.09,20.6976,
1997.10,43.4089,
1997.11,20.6976,
1997.12,40.9238,
1998.01,34.5,
1998.02,34.5,
1998.03,28,
1998.04,23.25,
1998.05,21.75,
1998.06,21,
1998.07,19.75,
1998.08,19.75,
1998.09,19,
1998.10,19,
1998.11,19,
1998.12,29,
1999.01,25,
1999.02,25,
1999.03,42,
1999.04,32,
1999.05,23.5,
1999.06,21,
1999.07,19.5,
1999.08,19.5,
1999.09,19,
1999.10,19,
1999.11,19,
1999.12,19,
2000.01,19,
2000.02,19,
2000.03,18.5,
2000.04,18.5,
2000.05,18.5,
2000.06,17.5,
2000.07,16.5,
2000.08,16.5,
2000.09,16.5,
2000.10,16.5,
2000.11,16.5,
2000.12,15.75,
2001.01,15.25,
2001.02,15.25,
2001.03,15.75,
2001.04,16.25,
2001.05,16.75,
2001.06,18.25,
2001.07,19,
2001.08,19,
2001.09,19,
2001.10,19,
2001.11,19,
2001.12,19,
2002.01,19,
2002.02,18.75,
2002.03,18.5,
2002.04,18.5,
2002.05,18.5,
2002.06,18.5,
2002.07,18,
2002.08,18,
2002.09,18,
2002.10,21,
2002.11,22,
2002.12,25,
2003.01,25.5,
2003.02,26.5,
2003.03,26.5,
2003.04,26.5,
2003.05,26.5,
2003.06,26,
2003.07,24.5,
2003.08,22,
2003.09,20,
2003.10,19,
2003.11,17.5,
2003.12,16.5,
2004.01,16.5,
2004.02,16.5,
2004.03,16.25,
2004.04,16,
2004.05,16,
2004.06,16,
2004.07,16,
2004.08,16,
2004.09,16.25,
2004.10,16.75,
2004.11,17.25,
2004.12,17.75,
2005.01,18.25,
2005.02,18.75,
2005.03,19.25,
2005.04,19.5,
2005.05,19.75,
2005.06,19.75,
2005.07,19.75,
2005.08,19.75,
2005.09,19.5,
2005.10,19,
2005.11,18.5,
2005.12,18,
2006.01,17.25,
2006.02,17.25,
2006.03,16.5,
2006.04,15.75,
2006.05,15.75,
2006.06,15.25,
2006.07,14.75,
2006.08,14.25,
2006.09,14.25,
2006.10,13.75,
2006.11,13.25,
2006.12,13.25,
2007.01,13,
2007.02,13,
2007.03,12.75,
2007.04,12.5,
2007.05,12.5,
2007.06,12,
2007.07,11.5,
2007.08,11.5,
2007.09,11.25,
2007.10,11.25,
2007.11,11.25,
2007.12,11.25,
2008.01,11.25,
2008.02,11.25,
2008.03,11.25,
2008.04,11.75,
2008.05,11.75,
2008.06,12.25,
2008.07,13,
2008.08,13,
2008.09,13.75,
2008.10,13.75,
2008.11,13.75,
2008.12,13.75,
2009.01,12.75,
2009.02,12.75,
2009.03,11.25,
2009.04,10.25,
2009.05,10.25,
2009.06,9.25,
2009.07,8.75,
2009.08,8.75,
2009.09,8.75,
2009.10,8.75,
2009.11,8.75,
2009.12,8.75,
2010.01,8.75,
2010.02,8.75,
2010.03,8.75,
2010.04,9.5,
2010.05,9.5,
2010.06,10.25,
2010.07,10.75,
2010.08,10.75,
2010.09,10.75,
2010.10,10.75,
2010.11,10.75,
2010.12,10.75,
2011.01,11.25,
2011.02,11.25,
2011.03,11.75,
2011.04,12,
2011.05,12,
2011.06,12.25,
2011.07,12.5,
2011.08,12.5,
2011.09,12,
2011.10,11.5,
2011.11,11.5,
2011.12,11,
2012.01,10.5,
2012.02,10.5,
2012.03,9.75,
2012.04,9,
2012.05,8.5,
2012.06,8.5,
2012.07,8,
2012.08,7.5,
2012.09,7.5,
2012.10,7.25,
2012.11,7.25,
2012.12,7.25,
2013.01,7.25,
2013.02,7.25,
2013.03,7.25,
2013.04,7.5,
2013.05,8,
2013.06,8,
2013.07,8.5,
2013.08,9,
2013.09,9,
2013.10,9.5,
2013.11,10,
2013.12,10,
2014.01,10.5,
2014.02,10.75,
2014.03,10.75,
2014.04,11,
2014.05,11,
2014.06,11,
2014.07,11,
2014.08,11,
2014.09,11,
2014.10,11.25,
2014.11,11.25,
2014.12,11.75,
2015.01,12.25,
2015.02,12.25,
2015.03,12.75,
2015.04,13.25,
2015.05,13.25,
2015.06,13.75,
2015.07,14.25,
2015.08,14.25,
2015.09,14.25,
2015.10,14.25,
2015.11,14.25,
2015.12,14.25,
2016.01,14.25,
2016.03,14.25,
2016.04,14.25,
2016.05,14.25,
2016.06,14.25,
2016.07,14.25,
2016.08,14.25,
2016.09,14.25,
2016.10,14,
2016.11,14,
2016.12,13.75,
2017.01,13,
2017.02,12.25,
2017.03,12.25,
2017.04,11.25,
2017.05,11.25,
2017.06,10.25,
2017.07,9.25,
2017.08,9.25,
2017.09,8.25,
2017.10,7.5,
2017.11,7.5,
2017.12,7,
2018.01,7,
2018.02,6.75,
2018.03,6.5,
2018.04,6.5,
2018.05,6.5,
2018.06,6.5,
2018.07,6.5,
2018.08,6.5,
2018.09,6.5,
2018.10,6.5,
2018.11,6.5,
2018.12,6.5,
2019.01,6.5,
2019.02,6.5,
2019.03,6.5,
2019.04,6.5,
2019.05,6.5,
2019.06,6.5,
2019.07,6.5,
2019.08,6,
2019.09,5.5,
2019.10,5,
2019.11,5,
2019.12,4.5,
2020.01,4.5,
2020.02,4.25,
2020.03,3.75,
2020.04,3.75,
2020.05,3,
2020.06,2.25,
2020.07,2.25,
2020.08,2,
2020.09,2,
2020.10,2,
2020.11,2,
2020.12,2,
2021.01,2,
2021.02,2,
2021.03,2.75,
2021.04,2.75,
2021.05,3.5,
2021.06,4.25,
2021.07,4.25,
2021.08,5.25,
2021.09,6.25,
2021.10,7.75,
2021.11,,
